Indicator_BS,amount2020,vertical2020,amount2019,vertical2019,amount2018,vertical2018,amount2017,vertical2017,change2020,horizontal2020,change2019,horizontal2019,change2018,horizontal2018
total liabilities ," $258,549,000,000 ",79.83%," $248,028,000,000 ",73.27%," $258,578,000,000 ",70.70%," $241,272,000,000 ",64.28%," $10,521,000,000 ",4%," $-10,550,000,000 ",-4.08%," $17,306,000,000 ",7.17%
payables," $42,296,000,000 ",13.06%," $46,236,000,000 ",13.66%," $55,888,000,000 ",15.28%," $49,049,000,000 ",13.07%," $-3,940,000,000 ",-9%," $-9,652,000,000 ",-17.27%," $6,839,000,000 ",13.94%
pension and other post retirement expenses, $-   ,0.00%, $-   ,0.00%, $-   ,0.00%," $25,744,000,000 ",6.86%, $-   ,, $-   ,," $-25,744,000,000 ",-100.00%
current debt," $13,769,000,000 ",4.25%," $16,240,000,000 ",4.80%," $20,748,000,000 ",5.67%," $18,473,000,000 ",4.92%," $-2,471,000,000 ",-15%," $-4,508,000,000 ",-21.73%," $2,275,000,000 ",12.32%
current deferred liabilities," $6,643,000,000 ",2.05%," $5,522,000,000 ",1.63%," $7,543,000,000 ",2.06%," $7,548,000,000 ",2.01%," $1,121,000,000 ",20%," $-2,021,000,000 ",-26.79%," $-5,000,000 ",-0.07%
other current liabilities," $42,684,000,000 ",13.18%," $37,720,000,000 ",11.14%," $32,687,000,000 ",8.94%, $-   ,0.00%," $4,964,000,000 ",13%," $5,033,000,000 ",15.40%," $32,687,000,000 ",
total current liabilities," $105,392,000,000 ",32.54%," $105,718,000,000 ",31.23%," $116,866,000,000 ",31.95%," $100,814,000,000 ",26.86%," $-326,000,000 ",0%," $-11,148,000,000 ",-9.54%," $16,052,000,000 ",15.92%
long term debt and capital liabilities," $98,667,000,000 ",30.46%," $91,807,000,000 ",27.12%," $93,735,000,000 ",25.63%," £97,207,000,000 ",25.90%," $6,860,000,000 ",7%," $-1,928,000,000 ",-2.06%," $-3,472,000,000 ",-3.57%
non current deferred liabilities, $-   ,0.00%, $-   ,0.00%," $3,223,000,000 ",0.88%," £34,340,000,000 ",9.15%, $-   ,," $-3,223,000,000 ",-100.00%," $-31,117,000,000 ",-90.61%
trade and other payables ," $28,170,000,000 ",8.70%," $29,545,000,000 ",8.73%," $33,589,000,000 ",9.18%, £-   ,0.00%," $-1,375,000,000 ",-5%," $-4,044,000,000 ",-12.04%," $33,589,000,000 ",
other non current liabilities," $26,320,000,000 ",8.13%," $20,958,000,000 ",6.19%," $11,165,000,000 ",3.05%," £8,911,000,000 ",2.37%," $5,362,000,000 ",26%," $9,793,000,000 ",87.71%," $2,254,000,000 ",25.29%
total non current liabilities," $153,157,000,000 ",47.29%," $142,310,000,000 ",42.04%," $141,712,000,000 ",38.75%," £140,458,000,000 ",37.42%," $10,847,000,000 ",8%," $598,000,000 ",0.42%," $1,254,000,000 ",0.89%
,,,,,,,,,,,,,,
shareholders' equity," $65,339,000,000 ",20.17%," $90,488,000,000 ",26.73%," $107,147,000,000 ",29.30%," £134,047,000,000 ",35.72%," $-25,149,000,000 ",-28%," $-16,659,000,000 ",-15.55%," $-26,900,000,000 ",-20.07%
